"Country","Infant.Mortality"
"afghanistan",163.07
"albania",21.52
"algeria",31
"angola",191.19
"argentina",15.18
"armenia",23.28
"australia",4.69
"azerbaijan",81.74
"bahrain",17.27
"bangladesh",62.6
"barbados",12.5
"belarus",13.37
"belgium",4.68
"belize",25.69
"benin",85
"bhutan",100.44
"bolivia",53.11
"bosnia and herzegovina",21.05
"botswana",54.58
"brazil",29.61
"bulgaria",20.55
"burkina faso",97.57
"burundi",69.29
"cambodia",71.48
"cameroon",68.26
"canada",4.75
"chad",93.82
"chile",8.8
"china",24.18
"colombia",20.97
"comoros",74.93
"costa rica",9.95
"croatia",6.84
"cuba",6.33
"cyprus",7.18
"czech republic",3.93
"denmark",4.56
"djibouti",104.13
"dominican republic",32.38
"ecuador",23.66
"el salvador",25.1
"equatorial guinea",85.13
"estonia",7.87
"ethiopia",95.32
"fiji",12.62
"finland",3.57
"france",4.26
"gabon",53.64
"georgia",18.59
"germany",4.16
"ghana",51.43
"greece",5.53
"guatemala",35.93
"guinea",90.37
"guinea-bissau",107.17
"guyana",33.26
"haiti",73.45
"honduras",29.32
"hungary",8.57
"iceland",3.31
"india",56.29
"indonesia",35.6
"iraq",50.25
"ireland",5.39
"israel",7.03
"italy",5.94
"jamaica",12.36
"japan",3.26
"jordan",17.35
"kazakhstan",29.21
"kenya",61.47
"kuwait",9.95
"latvia",9.55
"lebanon",24.52
"lesotho",84.23
"liberia",128.87
"liechtenstein",4.7
"lithuania",6.89
"luxembourg",4.81
"madagascar",76.83
"malawi",103.32
"malaysia",17.7
"maldives",56.52
"mali",116.79
"malta",3.89
"mauritania",70.89
"mauritius",15.03
"mexico",20.91
"moldova",40.42
"mongolia",53.79
"morocco",41.62
"mozambique",130.79
"namibia",48.98
"nepal",66.98
"netherlands",5.04
"new zealand",5.85
"nicaragua",29.11
"niger",121.69
"nigeria",98.8
"norway",3.7
"oman",19.51
"pakistan",72.44
"panama",20.47
"papua new guinea",51.45
"paraguay",25.63
"peru",31.94
"philippines",23.51
"poland",8.51
"portugal",5.05
"qatar",18.61
"romania",26.43
"rwanda",91.23
"samoa",27.71
"saudi arabia",13.24
"senegal",55.51
"serbia",12.89
"seychelles",15.53
"sierra leone",143.64
"singapore",2.29
"slovenia",4.45
"solomon islands",21.29
"south africa",61.81
"spain",4.42
"sri lanka",14.35
"sudan",62.5
"suriname",23.57
"swaziland",69.27
"sweden",2.77
"switzerland",4.39
"tajikistan",110.76
"thailand",20.48
"togo",66.61
"tonga",12.62
"trinidad and tobago",24.31
"tunisia",24.77
"turkey",41.04
"turkmenistan",73.08
"uganda",67.83
"ukraine",20.34
"united arab emirates",14.51
"united kingdom",5.16
"united states",6.5
"uruguay",11.95
"uzbekistan",71.1
"vanuatu",55.16
"vietnam",25.95
"zambia",88.29
"zimbabwe",67.69
